FIPS,med_inc,Type,shops_per_1000
25005600100,79722,Dunkin Donuts,0
25005600100,79722,Starbucks,0
25005600202,70571,Dunkin Donuts,0
25005600202,70571,Starbucks,0
25005600203,121607,Dunkin Donuts,0
25005600203,121607,Starbucks,0.184535892231039
25005600204,114769,Dunkin Donuts,0.250062515628907
25005600204,114769,Starbucks,0
25005610100,72042,Dunkin Donuts,0.18491124260355
25005610100,72042,Starbucks,0
25005610202,126840,Dunkin Donuts,0.355492356914326
25005610202,126840,Starbucks,0
25005610203,103542,Dunkin Donuts,0.148809523809524
25005610203,103542,Starbucks,0
25005610204,101118,Dunkin Donuts,0
25005610204,101118,Starbucks,0
25005611101,89934,Dunkin Donuts,0
25005611101,89934,Starbucks,0
25005611102,90703,Dunkin Donuts,0
25005611102,90703,Starbucks,0
25005611201,82361,Dunkin Donuts,0.32488628979857
25005611201,82361,Starbucks,0
25005611202,70308,Dunkin Donuts,0.304785126485828
25005611202,70308,Starbucks,0
25005612100,94340,Dunkin Donuts,0.90702947845805
25005612100,94340,Starbucks,0.226757369614512
25005612200,75967,Dunkin Donuts,0.219611288020204
25005612200,75967,Starbucks,0
25005613100,49067,Dunkin Donuts,0.150330727600722
25005613100,49067,Starbucks,0
25005613300,77441,Dunkin Donuts,0.133564845732603
25005613300,77441,Starbucks,0
25005613400,71116,Dunkin Donuts,0.549450549450549
25005613400,71116,Starbucks,0
25005613600,36619,Dunkin Donuts,0.244678248103744
25005613600,36619,Starbucks,0
25005613700,42487,Dunkin Donuts,0.255623721881391
25005613700,42487,Starbucks,0
25005613800,29688,Dunkin Donuts,0.640888698995941
25005613800,29688,Starbucks,0
25005613901,40424,Dunkin Donuts,0
25005613901,40424,Starbucks,0
25005613902,63603,Dunkin Donuts,0
25005613902,63603,Starbucks,0
25005614e3,31969,Dunkin Donuts,0.223763705526964
25005614e3,31969,Starbucks,0
25005614101,58618,Dunkin Donuts,0.296779937676213
25005614101,58618,Starbucks,0.148389968838107
25005614102,85152,Dunkin Donuts,0.285551113649343
25005614102,85152,Starbucks,0
25005615100,85326,Dunkin Donuts,0.13941168269901
25005615100,85326,Starbucks,0
25005616100,84423,Dunkin Donuts,0.154035736290819
25005616100,84423,Starbucks,0
25005617101,87596,Dunkin Donuts,0.4
25005617101,87596,Starbucks,0
25005617102,87962,Dunkin Donuts,0.505433409148345
25005617102,87962,Starbucks,0
25005630101,60380,Dunkin Donuts,0.364298724954463
25005630101,60380,Starbucks,0
25005630102,54133,Dunkin Donuts,0
25005630102,54133,Starbucks,0
25005630200,113658,Dunkin Donuts,0
25005630200,113658,Starbucks,0
25005630300,84757,Dunkin Donuts,0
25005630300,84757,Starbucks,0
25005630400,72250,Dunkin Donuts,0.403307118370639
25005630400,72250,Starbucks,0.20165355918532
25005631100,61855,Dunkin Donuts,0.472869133467313
25005631100,61855,Starbucks,0
25005631200,75587,Dunkin Donuts,0.141462724572075
25005631200,75587,Starbucks,0
25005631300,71007,Dunkin Donuts,0.18037518037518
25005631300,71007,Starbucks,0
25005631400,32396,Dunkin Donuts,0
25005631400,32396,Starbucks,0
25005631500,56402,Dunkin Donuts,0.40453074433657
25005631500,56402,Starbucks,0
25005631600,47882,Dunkin Donuts,0.241021932995903
25005631600,47882,Starbucks,0
25005631700,78488,Dunkin Donuts,0.156568028808517
25005631700,78488,Starbucks,0
25005631800,63586,Dunkin Donuts,0
25005631800,63586,Starbucks,0
25005632100,85152,Dunkin Donuts,0.14808233377758
25005632100,85152,Starbucks,0
25005632200,68705,Dunkin Donuts,0.677690431011114
25005632200,68705,Starbucks,0
25005633100,78047,Dunkin Donuts,0.18925056775170301
25005633100,78047,Starbucks,0
25005633200,88956,Dunkin Donuts,0.154846701765252
25005633200,88956,Starbucks,0
25005640100,41057,Dunkin Donuts,0.66949341664807
25005640100,41057,Starbucks,0
25005640200,23275,Dunkin Donuts,0
25005640200,23275,Starbucks,0
25005640300,33715,Dunkin Donuts,0
25005640300,33715,Starbucks,0
25005640400,31941,Dunkin Donuts,0.353481795687522
25005640400,31941,Starbucks,0
25005640500,31375,Dunkin Donuts,0.217912399215515
25005640500,31375,Starbucks,0
25005640600,32676,Dunkin Donuts,0
25005640600,32676,Starbucks,0
25005640700,52525,Dunkin Donuts,0
25005640700,52525,Starbucks,0
25005640800,37940,Dunkin Donuts,0.77780658542909
25005640800,37940,Starbucks,0
25005640901,25247,Dunkin Donuts,0
25005640901,25247,Starbucks,0
25005641e3,18337,Dunkin Donuts,0
25005641e3,18337,Starbucks,0
25005641101,14540,Dunkin Donuts,0.932400932400932
25005641101,14540,Starbucks,0
25005641200,28362,Dunkin Donuts,0.893655049151028
25005641200,28362,Starbucks,0
25005641300,22547,Dunkin Donuts,0
25005641300,22547,Starbucks,0
25005641400,25347,Dunkin Donuts,0.413223140495868
25005641400,25347,Starbucks,0
25005641500,30368,Dunkin Donuts,0
25005641500,30368,Starbucks,0
25005641600,51220,Dunkin Donuts,0
25005641600,51220,Starbucks,0
25005641700,49375,Dunkin Donuts,0
25005641700,49375,Starbucks,0
25005641800,45560,Dunkin Donuts,0
25005641800,45560,Starbucks,0
25005641900,30069,Dunkin Donuts,0.483558994197292
25005641900,30069,Starbucks,0
25005642e3,29375,Dunkin Donuts,0.337040781934614
25005642e3,29375,Starbucks,0
25005642100,38906,Dunkin Donuts,0
25005642100,38906,Starbucks,0
25005642200,41171,Dunkin Donuts,0
25005642200,41171,Starbucks,0
25005642300,75083,Dunkin Donuts,0
25005642300,75083,Starbucks,0
25005642400,41958,Dunkin Donuts,0.315258511979823
25005642400,41958,Starbucks,0
25005642500,64130,Dunkin Donuts,0.661521499448732
25005642500,64130,Starbucks,0
25005644101,80536,Dunkin Donuts,0.165562913907285
25005644101,80536,Starbucks,0
25005644102,86442,Dunkin Donuts,0.198846689202625
25005644102,86442,Starbucks,0
25005644200,57790,Dunkin Donuts,0.417072153482552
25005644200,57790,Starbucks,0
25005645101,71553,Dunkin Donuts,0.22237046920169
25005645101,71553,Starbucks,0
25005645102,74826,Dunkin Donuts,0
25005645102,74826,Starbucks,0
25005645103,84113,Dunkin Donuts,0.677277345072807
25005645103,84113,Starbucks,0.169319336268202
25005646101,74904,Dunkin Donuts,0.13319126265317
25005646101,74904,Starbucks,0
25005646103,90417,Dunkin Donuts,0
25005646103,90417,Starbucks,0
25005646104,93750,Dunkin Donuts,0
25005646104,93750,Starbucks,0
25005650101,65944,Dunkin Donuts,0.167084377610693
25005650101,65944,Starbucks,0
25005650102,45735,Dunkin Donuts,0.209643605870021
25005650102,45735,Starbucks,0
25005650201,48138,Dunkin Donuts,0.318066157760814
25005650201,48138,Starbucks,0
25005650202,45128,Dunkin Donuts,0.45662100456621
25005650202,45128,Starbucks,0
25005650300,50034,Dunkin Donuts,0.291375291375291
25005650300,50034,Starbucks,0
25005650400,37832,Dunkin Donuts,0
25005650400,37832,Starbucks,0
25005650500,38497,Dunkin Donuts,0.326477309826967
25005650500,38497,Starbucks,0
25005650600,22688,Dunkin Donuts,0
25005650600,22688,Starbucks,0
25005650700,34844,Dunkin Donuts,0
25005650700,34844,Starbucks,0
25005650800,26492,Dunkin Donuts,0
25005650800,26492,Starbucks,0
25005650900,21775,Dunkin Donuts,0.347463516330785
25005650900,21775,Starbucks,0
25005651001,39750,Dunkin Donuts,0.335683115139308
25005651001,39750,Starbucks,0
25005651002,57632,Dunkin Donuts,0.816548720740337
25005651002,57632,Starbucks,0
25005651100,23477,Dunkin Donuts,0.241254523522316
25005651100,23477,Starbucks,0
25005651200,32765,Dunkin Donuts,0.420344682639765
25005651200,32765,Starbucks,0
25005651300,26989,Dunkin Donuts,0
25005651300,26989,Starbucks,0
25005651400,38970,Dunkin Donuts,0
25005651400,38970,Starbucks,0
25005651500,34902,Dunkin Donuts,0
25005651500,34902,Starbucks,0
25005651600,50709,Dunkin Donuts,0
25005651600,50709,Starbucks,0
25005651700,20845,Dunkin Donuts,0
25005651700,20845,Starbucks,0
25005651800,13750,Dunkin Donuts,1.17508813160987
25005651800,13750,Starbucks,0
25005651900,27772,Dunkin Donuts,0
25005651900,27772,Starbucks,0
25005652e3,33841,Dunkin Donuts,0
25005652e3,33841,Starbucks,0
25005652100,48636,Dunkin Donuts,0
25005652100,48636,Starbucks,0
25005652200,63897,Dunkin Donuts,0
25005652200,63897,Starbucks,0
25005652300,36159,Dunkin Donuts,0
25005652300,36159,Starbucks,0
25005652400,25313,Dunkin Donuts,0.411184210526316
25005652400,25313,Starbucks,0
25005652500,26623,Dunkin Donuts,0
25005652500,26623,Starbucks,0
25005652600,26802,Dunkin Donuts,0
25005652600,26802,Starbucks,0
25005652700,22704,Dunkin Donuts,0.284414106939704
25005652700,22704,Starbucks,0
25005652800,55200,Dunkin Donuts,0
25005652800,55200,Starbucks,0
25005653101,57270,Dunkin Donuts,0.800640512409928
25005653101,57270,Starbucks,0.160128102481986
25005653102,84630,Dunkin Donuts,0
25005653102,84630,Starbucks,0
25005653203,57337,Dunkin Donuts,0.189609404626469
25005653203,57337,Starbucks,0
25005653204,77917,Dunkin Donuts,0
25005653204,77917,Starbucks,0
25005653301,61538,Dunkin Donuts,0.192049164586134
25005653301,61538,Starbucks,0
25005653304,93934,Dunkin Donuts,0
25005653304,93934,Starbucks,0
25005654100,83393,Dunkin Donuts,0
25005654100,83393,Starbucks,0
25005654200,62135,Dunkin Donuts,0.599700149925038
25005654200,62135,Starbucks,0
25005655100,69942,Dunkin Donuts,0
25005655100,69942,Starbucks,0
25005655200,38958,Dunkin Donuts,0.215146299483649
25005655200,38958,Starbucks,0
25005655300,60153,Dunkin Donuts,0.301386377335744
25005655300,60153,Starbucks,0
25005655400,67588,Dunkin Donuts,0
25005655400,67588,Starbucks,0
25005985500,78319,Dunkin Donuts,0
25005985500,78319,Starbucks,0
25005985600,135976,Dunkin Donuts,0.53041018387553
25005985600,135976,Starbucks,0
25009201100,65083,Dunkin Donuts,0.289771080846132
25009201100,65083,Starbucks,0
25009202101,107353,Dunkin Donuts,0
25009202101,107353,Starbucks,0
25009202102,71447,Dunkin Donuts,0.17247326664367
25009202102,71447,Starbucks,0.17247326664367
25009202200,128095,Dunkin Donuts,0
25009202200,128095,Starbucks,0
25009203100,118482,Dunkin Donuts,0
25009203100,118482,Starbucks,0
25009203200,99848,Dunkin Donuts,0
25009203200,99848,Starbucks,0
25009203301,81520,Dunkin Donuts,0
25009203301,81520,Starbucks,0.236854571293226
25009203302,84583,Dunkin Donuts,0
25009203302,84583,Starbucks,0
25009204101,57443,Dunkin Donuts,0
25009204101,57443,Starbucks,0
25009204102,71698,Dunkin Donuts,0.198098256735341
25009204102,71698,Starbucks,0
25009204200,44222,Dunkin Donuts,0.193798449612403
25009204200,44222,Starbucks,0.193798449612403
25009204300,41659,Dunkin Donuts,0.258732212160414
25009204300,41659,Starbucks,0
25009204400,65000,Dunkin Donuts,0
25009204400,65000,Starbucks,0
25009204500,71556,Dunkin Donuts,0.332778702163062
25009204500,71556,Starbucks,0
25009204600,52292,Dunkin Donuts,0.418322526668061
25009204600,52292,Starbucks,0
25009204701,53325,Dunkin Donuts,0.155183116076971
25009204701,53325,Starbucks,0
25009204702,63333,Dunkin Donuts,0.352236703064459
25009204702,63333,Starbucks,0
25009205100,82353,Dunkin Donuts,0.195007800312012
25009205100,82353,Starbucks,0
25009205200,59441,Dunkin Donuts,0.359582883854729
25009205200,59441,Starbucks,0
25009205300,87159,Dunkin Donuts,0
25009205300,87159,Starbucks,0
25009205400,96905,Dunkin Donuts,0.2050020500205
25009205400,96905,Starbucks,0
25009205500,48772,Dunkin Donuts,0
25009205500,48772,Starbucks,0
25009205600,36830,Dunkin Donuts,0.256410256410256
25009205600,36830,Starbucks,0
25009205700,70143,Dunkin Donuts,0
25009205700,70143,Starbucks,0
25009205800,54132,Dunkin Donuts,0
25009205800,54132,Starbucks,0
25009205900,61310,Dunkin Donuts,0
25009205900,61310,Starbucks,0
25009206e3,35060,Dunkin Donuts,0
25009206e3,35060,Starbucks,0
25009206100,25298,Dunkin Donuts,0
25009206100,25298,Starbucks,0
25009206200,36934,Dunkin Donuts,0
25009206200,36934,Starbucks,0
25009206300,53462,Dunkin Donuts,0
25009206300,53462,Starbucks,0
25009206400,54171,Dunkin Donuts,0
25009206400,54171,Starbucks,0
25009206500,44938,Dunkin Donuts,0
25009206500,44938,Starbucks,0
25009206600,42542,Dunkin Donuts,0.241021932995903
25009206600,42542,Starbucks,0
25009206700,35493,Dunkin Donuts,0
25009206700,35493,Starbucks,0
25009206800,21038,Dunkin Donuts,0.296120817293456
25009206800,21038,Starbucks,0
25009206900,26589,Dunkin Donuts,0
25009206900,26589,Starbucks,0
25009207e3,19708,Dunkin Donuts,0.936768149882904
25009207e3,19708,Starbucks,0
25009207100,37284,Dunkin Donuts,0
25009207100,37284,Starbucks,0
25009207200,26092,Dunkin Donuts,0
25009207200,26092,Starbucks,0.34106412005457
25009208101,80357,Dunkin Donuts,0.192012288786482
25009208101,80357,Starbucks,0
25009208102,71538,Dunkin Donuts,0.286368843069874
25009208102,71538,Starbucks,0
25009208200,71231,Dunkin Donuts,0.189358076121947
25009208200,71231,Starbucks,0
25009208300,75547,Dunkin Donuts,0.137042620254899
25009208300,75547,Starbucks,0.137042620254899
25009208400,89000,Dunkin Donuts,0.820883270398949
25009208400,89000,Starbucks,0.16417665407979
25009209100,108867,Dunkin Donuts,0.159464200287036
25009209100,108867,Starbucks,0.159464200287036
25009209200,121127,Dunkin Donuts,0
25009209200,121127,Starbucks,0
25009210100,89914,Dunkin Donuts,0
25009210100,89914,Starbucks,0
25009210200,100298,Dunkin Donuts,0.374181478016838
25009210200,100298,Starbucks,0
25009210300,54012,Dunkin Donuts,0.364564345607
25009210300,54012,Starbucks,0.243042897071333
25009210400,71150,Dunkin Donuts,0
25009210400,71150,Starbucks,0
25009210500,82509,Dunkin Donuts,0.153397760392698
25009210500,82509,Starbucks,0
25009210600,57431,Dunkin Donuts,0
25009210600,57431,Starbucks,0
25009210700,48006,Dunkin Donuts,0
25009210700,48006,Starbucks,0
25009210800,33458,Dunkin Donuts,0
25009210800,33458,Starbucks,0
25009210900,59844,Dunkin Donuts,0
25009210900,59844,Starbucks,0
25009211100,65761,Dunkin Donuts,0.252397778899546
25009211100,65761,Starbucks,0
25009211200,67194,Dunkin Donuts,0.645161290322581
25009211200,67194,Starbucks,0
25009211300,93984,Dunkin Donuts,0
25009211300,93984,Starbucks,0
25009211401,76906,Dunkin Donuts,0.279798545047566
25009211401,76906,Starbucks,0
25009211402,79879,Dunkin Donuts,0.491320013101867
25009211402,79879,Starbucks,0
25009212100,105646,Dunkin Donuts,0.431359861964844
25009212100,105646,Starbucks,0
25009213100,127813,Dunkin Donuts,0
25009213100,127813,Starbucks,0
25009214100,121157,Dunkin Donuts,0.159083678014636
25009214100,121157,Starbucks,0
25009215101,119688,Dunkin Donuts,0.197005516154452
25009215101,119688,Starbucks,0
25009215102,100559,Dunkin Donuts,0
25009215102,100559,Starbucks,0
25009216100,116875,Dunkin Donuts,0
25009216100,116875,Starbucks,0
25009217100,90677,Dunkin Donuts,0.52096900234436
25009217100,90677,Starbucks,0.13024225058609
25009217201,69702,Dunkin Donuts,0
25009217201,69702,Starbucks,0
25009217202,95000,Dunkin Donuts,0
25009217202,95000,Starbucks,0.289519397799653
25009217300,55242,Dunkin Donuts,0.45766590389016
25009217300,55242,Starbucks,0
25009217400,53301,Dunkin Donuts,0.19047619047619
25009217400,53301,Starbucks,0
25009217500,71675,Dunkin Donuts,0
25009217500,71675,Starbucks,0
25009217600,92191,Dunkin Donuts,0.228258388495777
25009217600,92191,Starbucks,0
25009218100,89313,Dunkin Donuts,0.190585096245474
25009218100,89313,Starbucks,0
25009220101,75270,Dunkin Donuts,0
25009220101,75270,Starbucks,0
25009220102,60250,Dunkin Donuts,0.332005312084993
25009220102,60250,Starbucks,0
25009221100,86424,Dunkin Donuts,0
25009221100,86424,Starbucks,0
25009221300,67670,Dunkin Donuts,0.218197687104517
25009221300,67670,Starbucks,0
25009221400,50026,Dunkin Donuts,0
25009221400,50026,Starbucks,0
25009221500,35594,Dunkin Donuts,1.06913756236636
25009221500,35594,Starbucks,0
25009221600,44115,Dunkin Donuts,0
25009221600,44115,Starbucks,0
25009221700,44360,Dunkin Donuts,0.469483568075117
25009221700,44360,Starbucks,0
25009221800,79196,Dunkin Donuts,0
25009221800,79196,Starbucks,0
25009221901,84509,Dunkin Donuts,0.564971751412429
25009221901,84509,Starbucks,0
25009221902,69357,Dunkin Donuts,0.245037980887037
25009221902,69357,Starbucks,0
25009222100,89185,Dunkin Donuts,0.279329608938547
25009222100,89185,Starbucks,0
25009223100,64080,Dunkin Donuts,0
25009223100,64080,Starbucks,0
25009223200,59571,Dunkin Donuts,0.273897562311695
25009223200,59571,Starbucks,0
25009223300,101167,Dunkin Donuts,0
25009223300,101167,Starbucks,0
25009250100,17269,Dunkin Donuts,0.408496732026144
25009250100,17269,Starbucks,0
25009250200,58500,Dunkin Donuts,0
25009250200,58500,Starbucks,0
25009250300,39125,Dunkin Donuts,0.439753737906772
25009250300,39125,Starbucks,0
25009250400,20146,Dunkin Donuts,0
25009250400,20146,Starbucks,0
25009250500,34422,Dunkin Donuts,0
25009250500,34422,Starbucks,0
25009250600,53269,Dunkin Donuts,0
25009250600,53269,Starbucks,0
25009250700,33333,Dunkin Donuts,0
25009250700,33333,Starbucks,0
25009250800,34111,Dunkin Donuts,0.153256704980843
25009250800,34111,Starbucks,0
25009250900,23587,Dunkin Donuts,0
25009250900,23587,Starbucks,0
25009251e3,26696,Dunkin Donuts,0
25009251e3,26696,Starbucks,0
25009251100,17785,Dunkin Donuts,0
25009251100,17785,Starbucks,0
25009251200,19020,Dunkin Donuts,0
25009251200,19020,Starbucks,0
25009251300,26605,Dunkin Donuts,0
25009251300,26605,Starbucks,0
25009251400,33667,Dunkin Donuts,0
25009251400,33667,Starbucks,0
25009251500,34060,Dunkin Donuts,0.306795520785397
25009251500,34060,Starbucks,0
25009251600,29815,Dunkin Donuts,0.170648464163823
25009251600,29815,Starbucks,0
25009251700,42609,Dunkin Donuts,0.518672199170125
25009251700,42609,Starbucks,0
25009251800,67294,Dunkin Donuts,0
25009251800,67294,Starbucks,0
25009252101,62083,Dunkin Donuts,0.290528762347472
25009252101,62083,Starbucks,0
25009252102,109470,Dunkin Donuts,0.243605359317905
25009252102,109470,Starbucks,0
25009252201,76786,Dunkin Donuts,0
25009252201,76786,Starbucks,0
25009252202,93393,Dunkin Donuts,0
25009252202,93393,Starbucks,0
25009252300,41835,Dunkin Donuts,0.151080223598731
25009252300,41835,Starbucks,0
25009252400,40463,Dunkin Donuts,0.238265427686443
25009252400,40463,Starbucks,0
25009252501,70395,Dunkin Donuts,0.254777070063694
25009252501,70395,Starbucks,0
25009252502,63704,Dunkin Donuts,0.219298245614035
25009252502,63704,Starbucks,0.219298245614035
25009252601,71780,Dunkin Donuts,0.135648399348888
25009252601,71780,Starbucks,0
25009252602,96250,Dunkin Donuts,0.230096640589047
25009252602,96250,Starbucks,0.230096640589047
25009252603,79805,Dunkin Donuts,0
25009252603,79805,Starbucks,0
25009253100,69292,Dunkin Donuts,0.185219485089831
25009253100,69292,Starbucks,0
25009253201,71050,Dunkin Donuts,0.691802144586648
25009253201,71050,Starbucks,0
25009253202,72371,Dunkin Donuts,0.15220700152207
25009253202,72371,Starbucks,0.15220700152207
25009253203,144762,Dunkin Donuts,0.24090580582992
25009253203,144762,Starbucks,0
25009253204,148245,Dunkin Donuts,0.357845768473788
25009253204,148245,Starbucks,0
25009253205,149632,Dunkin Donuts,0
25009253205,149632,Starbucks,0
25009254100,90739,Dunkin Donuts,0.157828282828283
25009254100,90739,Starbucks,0
25009254200,68906,Dunkin Donuts,0.199720391451967
25009254200,68906,Starbucks,0.199720391451967
25009254301,163125,Dunkin Donuts,0
25009254301,163125,Starbucks,0
25009254302,146643,Dunkin Donuts,0
25009254302,146643,Starbucks,0
25009254401,126667,Dunkin Donuts,0.296208530805687
25009254401,126667,Starbucks,0
25009254402,144932,Dunkin Donuts,0.440205429200293
25009254402,144932,Starbucks,0
25009254403,163750,Dunkin Donuts,0
25009254403,163750,Starbucks,0
25009260100,33542,Dunkin Donuts,0.174581005586592
25009260100,33542,Starbucks,0
25009260200,36866,Dunkin Donuts,0
25009260200,36866,Starbucks,0
25009260301,76031,Dunkin Donuts,0.223964165733483
25009260301,76031,Starbucks,0
25009260302,93354,Dunkin Donuts,0.354107648725212
25009260302,93354,Starbucks,0
25009260401,78580,Dunkin Donuts,0.258397932816537
25009260401,78580,Starbucks,0.258397932816537
25009260402,90517,Dunkin Donuts,0
25009260402,90517,Starbucks,0.172980453208787
25009260500,82892,Dunkin Donuts,0.241896468311563
25009260500,82892,Starbucks,0
25009260600,49210,Dunkin Donuts,0
25009260600,49210,Starbucks,0
25009260700,56544,Dunkin Donuts,0
25009260700,56544,Starbucks,0
25009260800,35871,Dunkin Donuts,0
25009260800,35871,Starbucks,0
25009260900,53750,Dunkin Donuts,0.206440957886045
25009260900,53750,Starbucks,0
25009261e3,72222,Dunkin Donuts,0.527148128624143
25009261e3,72222,Starbucks,0
25009261101,83188,Dunkin Donuts,0
25009261101,83188,Starbucks,0
25009261102,67873,Dunkin Donuts,0
25009261102,67873,Starbucks,0
25009262100,80508,Dunkin Donuts,0.152998776009792
25009262100,80508,Starbucks,0
25009263100,122969,Dunkin Donuts,0
25009263100,122969,Starbucks,0
25009264100,92898,Dunkin Donuts,0
25009264100,92898,Starbucks,0
25009265101,100260,Dunkin Donuts,0
25009265101,100260,Starbucks,0
25009265102,112218,Dunkin Donuts,0.220458553791887
25009265102,112218,Starbucks,0
25009266100,90243,Dunkin Donuts,0
25009266100,90243,Starbucks,0
25009266200,77321,Dunkin Donuts,0
25009266200,77321,Starbucks,0
25009266300,66442,Dunkin Donuts,0.558035714285714
25009266300,66442,Starbucks,0
25009266400,70220,Dunkin Donuts,0
25009266400,70220,Starbucks,0
25009267101,74318,Dunkin Donuts,0
25009267101,74318,Starbucks,0
25009267102,78894,Dunkin Donuts,0.425441395447777
25009267102,78894,Starbucks,0
25009268100,127212,Dunkin Donuts,0
25009268100,127212,Starbucks,0
25009268200,79879,Dunkin Donuts,0.317863954227591
25009268200,79879,Starbucks,0
25009268300,56786,Dunkin Donuts,0.243724104313917
25009268300,56786,Starbucks,0.243724104313917
25009268400,90500,Dunkin Donuts,0.212901852246115
25009268400,90500,Starbucks,0
25009269100,95827,Dunkin Donuts,0
25009269100,95827,Starbucks,0
25009270100,85994,Dunkin Donuts,0.166805671392827
25009270100,85994,Starbucks,0
25017300100,83917,Dunkin Donuts,0
25017300100,83917,Starbucks,0
25017301101,74006,Dunkin Donuts,0
25017301101,74006,Starbucks,0
25017301102,96290,Dunkin Donuts,0.194476857253987
25017301102,96290,Starbucks,0
25017310100,34431,Dunkin Donuts,0.391926317852244
25017310100,34431,Starbucks,0
25017310200,57953,Dunkin Donuts,0.143905597927759
25017310200,57953,Starbucks,0
25017310300,45648,Dunkin Donuts,0.170532060027285
25017310300,45648,Starbucks,0
25017310400,34015,Dunkin Donuts,0
25017310400,34015,Starbucks,0
25017310500,51651,Dunkin Donuts,0.298151460942159
25017310500,51651,Starbucks,0.298151460942159
25017310601,66221,Dunkin Donuts,0
25017310601,66221,Starbucks,0
25017310602,50083,Dunkin Donuts,0.363372093023256
25017310602,50083,Starbucks,0
25017310700,37344,Dunkin Donuts,0
25017310700,37344,Starbucks,0.207813798836243
25017311100,42841,Dunkin Donuts,0.39984006397441
25017311100,42841,Starbucks,0
25017311200,43787,Dunkin Donuts,0
25017311200,43787,Starbucks,0
25017311300,49399,Dunkin Donuts,0
25017311300,49399,Starbucks,0
25017311400,47888,Dunkin Donuts,0.158378207158695
25017311400,47888,Starbucks,0
25017311500,61111,Dunkin Donuts,0
25017311500,61111,Starbucks,0
25017311600,71809,Dunkin Donuts,0.189465706707086
25017311600,71809,Starbucks,0
25017311700,53004,Dunkin Donuts,0.203832042397065
25017311700,53004,Starbucks,0
25017311800,37377,Dunkin Donuts,0
25017311800,37377,Starbucks,0
25017311900,25255,Dunkin Donuts,0.437445319335083
25017311900,25255,Starbucks,0
25017312e3,42426,Dunkin Donuts,0
