year,height,been_to_africa,priming_number,how_many_countries
2019,64,No,94 countries,50
2021,66,No,14 countries,22
2021,66,No,94 countries,38
2019,68,No,94 countries,75
2020,67,No,94 countries,120
2021,62,No,94 countries,110
2020,62,No,14 countries,20
2021,70,No,14 countries,36
2021,69,No,14 countries,30
2022,62,No,14 countries,27
2021,65,No,14 countries,28
2020,69,No,14 countries,38
2021,62,No,94 countries,60
2021,67,No,14 countries,25
2021,63,No,94 countries,30
2021,67,No,94 countries,35
2021,67,No,14 countries,23
2021,60,No,94 countries,100
2020,64,No,14 countries,20
2021,63,No,94 countries,38
2021,68,No,14 countries,35
2021,60,Yes,14 countries,64
2021,63,No,94 countries,60
2022,68,No,94 countries,29
2021,63,No,14 countries,73
2021,66,No,14 countries,1
2020,66,No,14 countries,38
2022,61,No,14 countries,30
2021,64,No,94 countries,100
2021,65,No,14 countries,16
2022,65,No,14 countries,16
2021,60,No,14 countries,35
2020,64,No,14 countries,40
2021,58,No,94 countries,54
2021,60,No,14 countries,15
2020,69,No,14 countries,32
2020,64,No,14 countries,23
2019,69,No,14 countries,30
2021,66,Yes,14 countries,42
2021,71,No,14 countries,16
2021,62,No,14 countries,22
